;id;word;description;language;word2
311;11;sóphrosuné;"excellence of character and soundness of mind; leads to other beneficial qualities, such as moderation and self-control."; Greek;sóphrosuné (σωφροσύνη)
312;12;philotimo;Love of honour; Greek;philotimo
313;15;dolgostroj;A construction project that seems to go on forever; Russian;dolgostroj (долгострой)
314;16;mahalo;Thankfulness, appreciation, and gratitude as a way of living; Hawaiian;mahalo
315;17;dozywocie;Parental contract with children guaranteeing lifelong support; Polish;dozywocie
316;18;kaapshljmurslis;The feeling of being cramped on public transportation; Latvian;kaapshljmurslis
317;19;harkla;The little coughing noise one makes, often before giving a speech or dislodging a piece of cinnamon bun from their throat; Swedish;harkla
318;25;estrenar;The experience of wearing something for the first time; Spanish;estrenar
319;28;kummerspeck;"Weight you gain because you're unhappy (""sorrow bacon"")"; German;kummerspeck
320;29;dayenu;"""It would have been enough"""; Hebrew;dayenu
321;3;lagom;Not too much and not too little; Swedish;lagom
322;4;entzuterre;A distance that allows you to listen to another conversation; Basque;entzuterre
323;5;tôpäj;Interjection that is used to forewarn a child of falling; Bashkir;tôpäj (төпәй)
324;6;koi;The feeling upon meeting someone that falling in love with them is inevitable.; Japanese;koi no yokan
325;8;oodal;Overly exaggerated, fake anger that follows a lovers’ quarrel; Tamil;oodal
326;11;faamiti;The sound made by sucking air past the lips in order to gain the attention of a dog or child; Samoan;faamiti
327;14;attaccabottone;Something that you long to get away from but struggle to; Italian;attaccabottone
328;16;boketto;gazing vacantly into the distance (without thought or sense of self).; Japanese;boketto (ぼけっと)
329;25;ripsaspis;"Literal: ""the one that throws down his shield""; the one that gives in with dismay"; Greek;ripsaspis (ρίψασπις)
330;26;komorebi;"Lit. wood is ‘leaking’ sunlight; dappled sunlight filtering through leaves."; Japanese;komorebi (木漏れ日)
331;27;morgenfrisk;Feeling rested after a good night's sleep; Danish;morgenfrisk
332;1;kuebiko;A state of exhaustion inspired by acts of senseless violence; Japanese;kuebiko
333;3;rubatosis;The unsettling awareness of your own heartbeat; English;rubatosis
334;4;ghalidan;Rolling from side to side as lovers do; Tamil;ghalidan
335;7;wú;"Negative, void, nothingness, non-being; can imply 'neither yes nor no'."; Chinese;wú (無)
336;15;erklärungsnot;The state of having to quickly explain yourself; German;erklärungsnot
337;20;ethanaavadhu;"""Can't put it any better"""; Tamil;ethanaavadhu
338;23;paasa;A person who leads someone on (intentionally or not). Appearing as if they are genuinely interested romantically when they aren’t; Tagalog;paasa
339;28;gezellig;A warm feeling of cozyness, but also have good times with friends af a party.; Dutch;gezellig
340;29;bajativo;A post-meal drink to help with digestion; Tamil;bajativo
341;30;erinmek;"Not doing something you have to do just because you don’t want to; being a prick"; Nogay;erinmek
342;1;linslus;"Someone who always wants to have their face in a photo. Literal translation: ""lens louse"""; Swedish;linslus
343;9;seny;Common sense, is a form of ancestral Catalan wisdom or sensibleness. It involves well-pondered perception of situations, level-headedness, awareness, integrity, and right action; Catalan;seny
344;11;hygge;A quality of cosiness and comfortable conviviality that engenders a feeling of contentment or well-being.; Danish;hygge
345;15;naz;The pride that comes from knowing that you are loved no matter what you do; Urdu;naz
346;16;waldeinsamkeit;The feeling of solitude in the woods; German;waldeinsamkeit
347;18;guān;"Cultivating relationships; reciprocal connections; networking; social karma."; Chinese;guān xì (關係)
348;22;hiraeth;A deep longing for home; Welsh;hiraeth
349;26;rè;Not only fun and lively, but also has a special vibe that makes everyone want to be there.; Chinese;rè nào (熱鬧)
350;3;werifesteria;To wander longingly through the forest in search of mystery; English;werifesteria
351;4;mencolek;The trick when you tap someone lightly on the opposite shoulder from behind to fool them; Indonesian;mencolek
352;6;avos';Doing something without planning, without putting in much effort, yet counting on success; Russian;avos'
353;7;raspafiestas;An adjective to describe a person who doesn't go until the party is over.; Spanish;raspafiestas
354;14;nadryv;"When a person releases intimate, deeply hidden feelings, sometimes that do not truly exist; imaginary, excessively exaggerated and distorted feelings"; Russian;nadryv
355;15;philoxenia;"Love of strangers, guests; a hospitable act of welcome."; Greek;philoxenia (φιλοξενία)
356;16;charmolypi;"""Joy-making sorrow"". A mixed feeling of happiness while being sad."; Greek;charmolypi
357;18;zgabalj;Mixture of all the bad things in the world, combined; Serbian;zgabalj
358;19;wintercearig;"Literally ""winter sorrow""; a feeling of deep sadness related to the cold, still, dark nature of winter"; English;wintercearig
359;23;jouska;A hypothetical conversation that you compulsively play out in your head; English;jouska
360;27;stushevatsya;To fade into the background; Russian;stushevatsya
361;1;aşermek;The experience of craving certain foods while pregnant; Turkish;aşermek
362;3;opia;the ambiguous intensity of eye-contact which can feel simultaneously invasive and vulnerable.; English;opia
363;6;merienda;It's something you eat between lunch and dinner (sandwich, fruit...). At 6pm or so. Kids never miss it.; Spanish;merienda
364;9;sphallolalia;Flirtatious talk that leads nowhere.; English;sphallolalia
365;11;sehnsucht;Thoughts and feelings about all facets of life that are unfinished or imperfect, paired with a yearning for ideal alternative experiences.; German;sehnsucht
366;14;tsundoku;Acquiring reading materials but letting them pile up in one's home without reading them; Japanese;tsundoku
367;16;tuerto;A man with only one eye; Spanish;tuerto
368;19;calacala;Children wading through water as they play; Tulu;calacala
369;21;chandamama;"Literally ""uncle moon""; referring to the moon when admiring it"; Telugu;chandamama (చందమామ)
370;24;duende;The mysterious power of art to deeply move a person; Spanish;duende
371;27;schlemiel;An inept, clumsy person; Yiddish;schlemiel
372;28;angrillen;Beginning the grilling season; German;angrillen
373;1;anecdoche;A conversation in which everyone is talking, but nobody is listening.; English;anecdoche
374;6;sokaiya;A man with a few shares in several companies who extorts money by threatening to come to the shareholders' meetings and cause trouble; Japanese;sokaiya
375;8;durcheinander;"Complete mess; screwed up beyond all recognition"; German;durcheinander
376;13;mātauranga;The comprehension, or understanding of the universe; Nogay;mātauranga
377;17;titip;To temporarily entrust something to a person; Indonesian;titip
378;18;uffda;A sympathetic word to be used when someone else is in pain. It combines ‘Ouch for you’ and ‘Oh, I’m sorry you hurt yourself’; Swedish;uffda
379;20;monachopsis;The subtle but persistent feeling of being out of place; English;monachopsis
380;21;redamancy;"The act of loving the one who loves you; a returned love in full"; English;redamancy
381;22;tuḷir;"Technically ""a baby leaf"", but it specifcally means a freshness tenderness, delicateness"; Tamil;tuḷir (துளிர்)
382;24;frostbeule;"Someone that is very sensitive to cold. That friend that always feels cold. (""frost bite"")"; German;frostbeule
383;25;te;"Virtue; morality; integrity; inner power."; Chinese;te (德)
384;26;kenopsia;The eerie, forlorn atmosphere of a place that is usually bustling with people but is now abandoned and quiet.; English;kenopsia
385;1;oneirataxia;The inability to distinguish between fantasy and reality; English;oneirataxia
386;9;listopad;The falling of the leaves; Russian;listopad
387;19;tartle;The act of hesitating while introducing someone because you've forgotten their name; Scottish;tartle
388;21;chantepleurer;Singng and crying simultaneously; French;chantepleurer
389;9;mauri;The essence that animates humans; Nogay;mauri ora
390;19;dugnad;Communal work in a gathering for mutually accomplishing a task (ex: a knitting bee); Norwegian;dugnad
391;21;sonder;"the realization that everyone has a life as vivid and complex as your own); coined by John Koenig."; English;sonder
392;27;resol;That kind of sun light, non direct, when the sun is covered by clouds that still hurts the eyes.; Mallorquín;resol
393;28;lachesism;The desire to be struck by disaster - to survive a plane crash, or to lose everything in a fire; English;lachesism
394;3;levensgenieter;"Someone who loves life deeply; is devoted"; Dutch;levensgenieter
395;9;lekker;"Literal translation ""tasty"", but can be used to describe anything that has one's hearty approval"; Afrikaans;lekker
396;16;fernweh;To have a yearning to see distant places; German;fernweh
397;21;goya;The transporting suspension of disbelief that can occur in storytelling; Urdu;goya (گویا)
398;25;yoisho;A word without meaning, said when flopping into a chair after a hard day at work or lifting a heavy bag.; Japanese;yoisho
399;27;desus;The quiet, smooth sound of somebody farting although not very loudly; Indonesian;desus
400;28;schwärmerei;Excessive or extreme enthusiasm or sentimentality.; German;schwärmerei
401;29;shibui;Old school cool; Japanese;shibui
402;30;moriturism;The sudden reminder that you will one day no longer occupy this earth; English;moriturism
403;4;solkatt;The glimmer that reflects the sunshine off a wristwatch; Swedish;solkatt
404;9;nedoperepitj;To drink more than one should have, but less than one would have wanted. To fail to drink too much.; Russian;nedoperepitj (недоперепить)
405;12;ádvaita;"non-dual; the notion that there is only one reality."; Sanskrit;ádvaita (अद्वैत)
406;18;tempus;Time flies, flees, escapes.; Latin;tempus fugit
407;19;adroit;"Lit. according to right; skilled, resourceful; dexterous."; French;adroit
408;27;chaval;"Literally ""shame on time""; referring to an amazing experience that you don't want to end"; Yiddish;chaval al hazman (חבל אל הזמן)
409;30;półtora;Specific word for one and a half of something; Polish;półtora
410;2;sobremesa;After-dinner conversation; Spanish;sobremesa
411;6;arumpu;A bud, but specifically referring to the stage where it is just starting to bud; Tamil;arumpu (அரும்பு)
412;7;wejbet;Unwanted/inconvenient social and family obligations that are somewhat necessary to maintain good relations; Arabic;wejbet
413;8;andria;Both valour and courage, expressed in actions in front of the face of danger; Greek;andria (ανδρεία)
414;12;istories;"Literal: 'stories with bears'; stories that are so crazy, they can't be true"; Greek;istories me arkoudes
415;18;aimonomia;Being scared to learn the ‘why’ of something; English;aimonomia
416;22;desvelarse;To wake up in the middle of the night. Be unable to fall asleep.; Spanish;desvelarse
417;26;extrawunsch;Someone who is slowing things down by being fussy, making everything more complicated than necessary; German;extrawunsch
418;27;janteloven;"Jante’s law; a set of social codes or norms that emphasize the importance of collective success rather than individual"; Norwegian;janteloven
419;30;zažitjsja;To keep living beyond the point where one feels they would be better off dead; Russian;zažitjsja (зажиться)
420;1;sortable;"adj. Someone you can take out without fear of being embarrassed, usually used to refer to friends or family members. e.g. ""Elle n'est pas sortable."""; French;sortable
421;12;shadenfreude;Pleasure derived by someone from another person's misfortune.; German;shadenfreude
422;17;insouciant;Free from worry, concern, or anxiety; English;insouciant
423;22;acoy;Something that is either very positive or negative; Indonesian;acoy
424;27;bilita;Opposite of a nightmare; Bantu;bilita mpash
425;28;vagary;An unpredictable instance, a wandering journey, a whimsical, wild, or unusual idea, desire, or action; English;vagary
426;3;vorfreude;The joyful, intense anticipation that comes from imagining future pleasures; German;vorfreude
427;6;erbsenzähler;"Literally ""a person who literally counts their peas""; someone who is nitpicky and always trying to make things perfect"; German;erbsenzähler
428;15;tokka;A large herd of reindeer; Finnish;tokka
429;22;kelema;Age in which you have strength, vigor and a person is considered productive.q; Maya;kelema
430;26;fremdschämen;To be embarrassed by something somebody else did; German;fremdschämen
431;3;fucha;To use company time and resources for one's own purposes; Portuguese;fucha
432;8;muskelkater;"Charley horse (""muscle cat"")"; German;muskelkater
433;10;schnapsdrossel;A person that drinks a lot but rarely gets drunk; German;schnapsdrossel
434;14;lebensmüde;Weary of life; German;lebensmüde
435;18;dor;The heartbreak and sense of longing you feel because you’re separated from your love; Romanian;dor
436;24;l’chaim;Lit. ‘to life’.; Hebrew;l’chaim (לְחַיִּים)
437;1;gigil;The urge to pinch or squeeze something that is unbearably cute; Tagalog;gigil
438;3;packesel;The person who’s stuck carrying everyone else’s bags on a trip; German;packesel
439;15;löyly;The steam that rises from the sauna heater when water is thrown on it; Finnish;löyly
440;16;frustfressen;Excessive eating because of frustration; German;frustfressen
441;24;thimru;Used to describe sharp qualities or features; Tamil;thimru
442;28;wegbier;A beer you're having on your way somewhere (i.e. a party); German;wegbier
443;1;jugaad;the ability to 'make do' or 'get by'.; Hindi;jugaad (जुगाड)
444;3;mandilón;A male who is super dedicated to his girlfriend, as compared to his friends; Spanish;mandilón
445;9;irusu;Pretending to be out when someone knocks at your door; Japanese;irusu
446;14;engili;Having contacted another's mouth directly or indirectly via hand or utensil that is not fit for consumption.; Telugu;engili (ఎంగిలి)
447;15;ngaobera;A slight inflammation of the throat caused by screaming too much; Pascuense;ngaobera
448;24;nakakapag;"Something that brings about excessive anxiety or restlessness for a period of time; something that is making you nervous"; Tagalog;nakakapag pabagabag
449;4;liberosis;The desire to care less about things.; English;liberosis
450;13;vybafnout;"To jump out and say ""boo"""; Czech;vybafnout
451;14;glückspilz;"A lucky person (""lucky mushroom"")"; German;glückspilz
452;16;koshatnik;A dealer in stolen cats; Russian;koshatnik
453;18;en;"Outdoors; in the open air."; French;en plein air
454;22;piñcu;Young, baby fruit; Tamil;piñcu (பிஞ்சு)
455;27;aduantas;Describes the angst that comes with being in an unfamiliar place and among unfamiliar people; Irish;aduantas
456;29;erkelmek;Teasing someone with repeating what they say; Nogay;erkelmek
457;1;odnoliub;"Someone who has only one love in his or her life; someone who is capable of loving only one at a time"; Russian;odnoliub
458;2;jayus;A joke that is so unfunny (or told so badly) that you just have to laugh.; Indonesian;jayus
459;9;age-otori;The bad feeling one gets after a terrible haircut; Japanese;age-otori
460;13;eunoia;"A well-mind; beautiful thinking"; Greek;eunoia
461;16;shouganai;It cannot be helped.; Japanese;shouganai
462;17;rizq;Life's provision of account. Often used in daily speech when someone wasn’t able to achieve something, it wasn’t in their Rizq.; Urdu;rizq
463;18;décidément;When coincidences occur or when events repeat themselves by chance (for example, when you run into the same person many times in one week); French;décidément
464;21;drachenfutter;A gift to your significant other as a form of apology; German;drachenfutter
465;23;zhaghzhagh;The chattering of teeth from the cold or from rage; Tamil;zhaghzhagh
466;27;rhwe;To sleep on the floor without a carpet, drunk and naked; Tsonga;rhwe
467;29;kertek;The sound of dry leaves or twigs being trodden underfoot; Malay;kertek
468;11;gula;"Gluttony, greed; indulgence; eating simply for the taste (i.e., not from hunger)."; Spanish;gula
469;15;apomakrysmenophobia;The sudden fear that the relationships you posses are shallow or lack depth; English;apomakrysmenophobia
470;17;inssa;Short word of insider = trendy people who catch up with the trends; Korean;inssa
471;21;kucir;A tuft of hair left to grow on top of an otherwise bald head; Indonesian;kucir
472;30;goesting;Looking forward to, can't wait, have an appetite for; Dutch;goesting
473;5;rire;To laugh in your beard quietly while thinking about something that has happened; French;rire dans sa barbe
474;6;aeipathy;"A continued passion; an unyielding disease"; English;aeipathy
475;11;karelu;The mark left on the skin by wearing something tight; Tulu;karelu
476;21;firgun;Ungrudging and overt (expressed) pride and happiness at other's successes.; Hebrew;firgun (פירגון)
477;24;pelinti;To move hot food around in your mouth; Buli;pelinti
478;26;commuovere;"""Heartwarming,” but specifically refers to a story that moved you to tears"; Italian;commuovere
479;27;exulansis;The tendency to give up trying to talk about an experience because people are unable to relate to it.; English;exulansis
480;30;tinga;Particles of food left between teeth; Tagalog;tinga
481;11;lha’i;"Deity meditation/yoga; an advanced practice in which one visualises interacting with, or ‘accomplishing’ (i.e., being), a deity."; Tibetan;lha’i rnal ‘byor (ལྷའི་རྣལ་འབྱོར)
482;15;han;"Sorrow, regret, grief, resentment, ""a dull ache of the soul"", yet passive and not revenge seeking; waiting for the injustice to be righted"; Korean;han
483;17;majime;"Reliable, responsible, diligent; seriousness, formality."; Japanese;majime (真面目)
484;21;egyszer;"Literal: ""there was a dog-market in Buda only once""; translates to essentially a once in a lifetime opportunity"; Hungarian;egyszer volt budán kutyavásár
485;23;ninot;A ninot is a figure with human representation. In a conversation, it means a person without personality.; Valencian;ninot
486;26;arbejdsglæde;"Literally ""work happiness""; the feeling of happiness provoked by a satisfying job"; Danish;arbejdsglæde
487;30;vabba;To be at home with the kids; Swedish;vabba
488;13;gökotta;To rise at dawn in order to go out and listen to the birds sing; Swedish;gökotta
489;20;rückkehhrunruhe;The feeling of returning home after an immersive trip only to find it fading rapidly from your awareness.; German;rückkehhrunruhe
490;27;taraadin;A happy solution for everyone; Arabic;taraadin
491;11;morriña;Nostalgia that you feel when you are far from home; Galician;morriña
492;12;volya;"""Freedom"" and ""will"", but also vast natural landscape"; Russian;volya (воля)
493;15;noniná;Triple negation. Means yes, with emphasis.; Spanish;noniná
494;28;að;To save someone or fix something in a time sensitive manner.; Icelandic;að redda
495;2;sud’ba;Fate, destiny, fortune; Russian;sud’ba (судьба).
496;16;xíng;Volitionally (e.g., mentally) circulating or directing qi.; Chinese;xíng qì (行氣)
497;19;tuntuvar;The day before a wedding; Nogay;tuntuvar
498;28;dépaysement;The feeling of being in an environment that you are not used to; French;dépaysement
499;28;cynefin;"A place where a person or an animal feels it ought to live and belong; it is where nature around you feels right and welcoming"; Welsh;cynefin
500;2;surströmmingspremier;The first day of the year where it acceptable eat rotten herring.; Swedish;surströmmingspremier
501;6;tampo;"Behaviour in which a person withdraws his or her affection or cheerfulness from a person who has hurt his or her feelings; when you're disappointed with someone yet do not express it directly"; Tagalog;tampo
502;10;eunoirophrenia;The peace of mind that comes with having pleasant dreams.; Greek;eunoirophrenia
503;23;nementia;Feeling nervous or anxious in your own skin; English;nementia
504;1;strikhedonia;"The joy of being able to say ""to hell with it"""; English;strikhedonia
505;8;jumpa;To jump from one floating piece of ice to another; Swedish;jumpa
506;11;rauxa;"Sudden determination or action; rapture"; Catalan;rauxa
507;18;gattara;A woman catlover who feeds alley cats or spends time with domestic cats; Italian;gattara
508;25;schnapsleiche;"So who passed out drunk (""liquor corpse"")"; German;schnapsleiche
509;26;nuchshlepper;"Someone who follows another person; a hanger-on"; Yiddish;nuchshlepper
510;18;onism;The frustration of being stuck in just one body, that inhabits just one place at a time.; English;onism
511;1;pomicione;A man who seizes any chance of being in close contact with a woman; Italian;pomicione
512;15;zeg;The day after tomorrow; Georgian;zeg
513;3;numinous;Describing an experience that makes you fearful yet fascinated, awed yet attracted - the powerful, personal feeling of being overwhelmed an inspired; English;numinous
514;6;wú;"Lit. without highest point, utmost point, ridgepole; ultimate, boundless, limitless; the primodial universe; original nature."; Chinese;wú jí (無極)
515;13;jaksaa;A lack of enthusiasm to do something; Finnish;jaksaa
516;27;nepenthe;Something that helps you forget grief or suffering; Greek;nepenthe
517;18;eshaku;A slight bow of around 15 degrees; Japanese;eshaku
518;21;selcouth;Rare, strange, marvellous, wondrous.; English;selcouth
519;28;gemütlichkeit;An atmosphere of belonging, relaxation, chilled music, great food and drink; German;gemütlichkeit
520;4;kairosclerosis;A moment in which you realize that you're happy but simultaneously destroy that happiness by overthinking it; English;kairosclerosis
521;9;culaccino;The mark left on the table by a cold glass; Italian;culaccino
522;25;kusukusu;The suppressed giggling and tittering of a group of women; Japanese;kusukusu
523;26;mångata;The roadlike reflection of moonlight on water; Swedish;mångata
524;26;kaṟpu;Determination to chastity, even in the face of adversity; Tamil;kaṟpu (கற்பு)
525;1;qualunquismo;"Political apathy; people who really don’t care very much about politics and related issues in society"; Italian;qualunquismo
526;5;ohrwurm;"A melody or song that gets stuck in your head (""ear worm"")"; German;ohrwurm
527;14;geis;"Taboo, prohibition; injunction; something you do (or don’t do), upon which your life depends, or which defines your life."; Irish;geis
528;15;pantoffelheld;"Literally ""slipper hero""; A man who may act tough in front of his friends but can’t stand up for himself against his wife"; German;pantoffelheld
529;22;bababa;Is it going down? (In the context of an elevator); Tagalog;bababa ba?
530;23;eomchina;"Contraction of the phrase ""Mom's friend's son"". Academically successful (and possibly wealthy) male student who is the target of envy among others"; Korean;eomchina
